92631,0,808,1,0,458,218,176
92631,1,877,1,1,511,219,176
92631,2,876,1,1,509,220,176
92631,3,1483,5,0,508,221,176
92631,4,889,1,0,515,242,291
92631,5,880,1,1,516,243,291
92631,6,881,1,0,517,244,291
92631,7,882,1,1,518,245,292
92631,8,926,1,1,543,246,292
92631,9,925,1,0,542,247,292
92631,10,924,1,0,541,248,292
92631,11,923,1,0,540,249,292
92631,12,921,1,0,538,250,292
92631,13,1767,3,0,536,241,293
92632,0,1767,3,0,536,241,293
92632,1,931,2,0,538,250,292
92632,2,930,2,0,540,249,292
92632,3,929,2,0,541,248,292
92632,4,928,2,0,542,247,292
92632,5,927,2,1,543,246,292
92632,6,892,2,1,518,245,292
92632,7,891,2,0,517,244,291
92632,8,890,2,1,516,243,291
92632,9,879,2,0,515,242,291
92632,10,888,2,0,508,221,176
92632,11,884,2,1,509,220,176
92632,12,883,2,1,511,219,176
92632,13,808,1,0,458,218,176
92668,0,808,1,0,458,218,176
92668,1,877,1,1,511,219,176
92668,2,886,4,1,509,220,203
92668,3,887,1,0,512,257,202
92668,4,1538,2,1,513,258,202
92668,5,1540,2,0,531,259,201
92668,6,1542,2,1,530,260,201
92668,7,1543,1,0,529,261,201
92668,8,917,1,1,528,262,200
92668,9,1546,2,1,527,263,200
92668,10,1548,2,1,526,264,199
92668,11,915,0,0,525,265,198
92669,0,915,0,0,525,265,198
92669,1,1547,1,1,526,264,199
92669,2,1545,1,1,527,263,200
92669,3,916,2,1,528,262,200
92669,4,1544,2,0,529,261,201
92669,5,1541,1,1,530,260,201
92669,6,1539,1,0,531,259,201
92669,7,1537,1,1,513,258,202
92669,8,878,2,0,512,257,202
92669,9,884,2,1,509,220,176
92669,10,883,2,1,511,219,176
92669,11,808,1,0,458,218,176
92686,0,147,1,0,100,846,75
92686,1,201,2,0,101,873,0
92686,2,208,1,0,1066,866,72
92686,3,211,1,0,1004,874,72
92686,4,158,1,0,108,131,72
92686,5,213,2,0,109,277,274
92686,6,215,3,0,110,132,144
92686,7,217,2,0,111,168,144
92686,8,1879,1,0,112,101,144
92686,9,695,1,0,406,170,5
92686,10,770,1,0,405,171,365
