Rączna Kościół,Rączna Podlas
Przeginia Duchowna Bar,Przeginia Duchowna Centrum
Łososkowice Szkoła,Skrzeszowice
Agencja Kraków Wschód,Blokowa
Olszanica,Olszanica Ogródki Działkowe
Michałowice Lecznica,Michałowice II
Niepołomice Batorego II,Niepołomice Batorego
Kocmyrzów,Kocmyrzów Krzyżówka
Branice,Branice I
Sodfiny,Kocmyrzów I
Prokocim Szpital,Teligi
Rudawa,Rudawa Młyn
Bronowice,Balicka Wiadukt
Laskowiec,Warszówka
Chrosna Kapliczka,Chrosna Sklep
Witkowice,Os.Marszowiec
Bronowice Wiadukt,Zarzecze
Wysiołek Luborzycki I,Wysiołek Luborzycki Radwany
Łęczycka,Cedyńska
Skośna,Lubostroń
Dziekanowice Stacja Batowice,Bosutów Dziekanowice
Piekary,Piekary Pałac
Park  Skały Twardowskiego ,Os.Robotnicze
Lusina Górka,Konary I
Będkowice Kawiory,Będkowice Borynia
Łowińskiego,Petöfiego
Węgrzce Starostwo Powiatowe,Węgrzce
Zastów,Zastów Działki
Iwanowice,Krasieniec Zakupny
Wyciąże Wiadukt,Wyciąże I
Urzędnicza,Biprostal
Droga do Garliczki,Wola Zachariaszowska
Krzyszkowice Modrzewiowa,Krzyszkowice Różana
Bronowice,Wesele
Nowy Kleparz,Dworzec Towarowy
Węgrzce,Węgrzce Centrum Medyczne
Habina,Na Załęczu
Oczyszczalnia Ścieków  Kujawy ,Dymarek
Nowosądecka,Wola Duchacka
Rostworowskiego,Ruczaj
Skrajna,Jordanowska
Wola Luborzycka Działki,Wola Luborzycka
Os.Kościuszkowskie,DH Wanda
Miasteczko Studenckie AGH,Kawiory
Chrosna Kapliczka,Morawica Mostek
Januszowice,Korzkiew I
Wolica Kościół,Wolica Sklep
Radziszów Centrum,Radziszów Kamionna
Lasek Mogilski,Lesisko
Więcławice Stare,Masłomiąca I
Grzybów,Burów I
Bagienna,Podgórki Tynieckie
Grębałów,Gustawa Morcinka
Łobzów PKP,Mazowiecka
Krowoderskich Zuchów,Łokietka
Wola Radziszowska Centrum,Wola Radziszowska Podgaźle
Wolica II,Cło
Lusina Spacerowa,Lusina Dwór
Radwanowice II,Radwanowice Pętla
Mników Sklep,Czułów I
Skawina Nad Potokiem,Skawina Os. Radziszowskie
Opatkowice CPN,Opatkowice
Skawina Robotnicza,Skawina Energetyków
Witosa,Nowosądecka
Wolica Sklep,Wolica Kościół
Jordanowska,Chabrowa
Wysłouchów,Bojki
Miśnieńska,Os.Złotego Wieku
Chałupki,Chałupki I
Rączna Kapliczka,Rączna I
Wieliczka Cmentarz,Zabawa I
Rzeszotary Zalesie,Piasna Górka 
Niepołomice Kościuszki,Niepołomice Boryczów
Wiślicka,Os.Strusia
Borek Szlachecki II,Zelczyna I
Modlnica Skrzyżowanie,Modlniczka
Radziszów Podlesie,Radziszów Włosanka
Skawina Cmentarz Komunalny,Skawina Korabniki
Balice Szkoła,Balice Instytut
Krzeszowice Witaminka,Krzeszowice Szkoła
Grabie Kościół,Niepołomice Podgrabie
Kobylany Remiza,Kobylany
Soboniowice,Drużbackiej
Tonie Gliniki,Tonie Skrzyżowanie
Wola Radziszowska Centrum,Wola Radziszowska Chorzyny
Prądnik Czerwony,Strzelców
Brzozówka,Owczary I
Struga,Os.Zielone
Jerzmanowskiego,Wielicka
Łokietka,Makowskiego
Batalionu  Skała  AK,Makowskiego
Skawina Radziszowska,Skawina Centrum Wodne
Pasternik Cmentarz,Pasternik
Krasieniec Stary,Krasieniec Remiza
Instytut Pediatrii,Dom Spokojnej Starości
Wołowice Szkoła,Dąbrowa Szlachecka Krzemiennik
Wieczysta,Meissnera
Rząska Jednostka Wojskowa,Rząska UR
Szczyglice Most,Podkamycze
Zabierzów Młyn,Bolechowice I
Tischnera,Powstańców Wielkopolskich
Podstawie,Wyciąże II
Luborzyca,Luborzyca I
Michałowice Ujęcie Wody,Michałowice Las Michałowski
Borek Szlachecki I,Skawina Podbory
Borki,Borki I
Miasteczko Studenckie AGH,Cichy Kącik
Zatyka,Isep
Szyce II,Modlnica II
Fredry,Sucha
Balicka,Lindego
Rusocice Łęg,Rusocice Załęg
Murownia,Biały Kościół
Wielkie Drogi,Wielkie Drogi PKP
Jana Kazimierza,Jagiełły
